Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building
6625 N Forkner Ave,93711,Aug-20,585000,5,3.5,3768,True,0.47 a,50
2038 E Axelson Dr,93730,Aug-20,355000,2,2.0,1141,True,"3,049",2021
5375 E White Ave,93727,Aug-20,320000,4,1.75,1960,True,0.37 a,68
6372 N Sharon Ave,93710,Aug-20,365000,4,3.0,2420,True,"10,367",50
821 W Pontiac Way,93705,Aug-20,240000,3,1.75,1124,True,"6,499",60
7427 N Sierra Vista Ave,93720,Aug-20,420000,4,2.0,2238,True,"8,698",22
2380 S Sabre Ave,93727,Aug-20,293500,4,2.0,1486,True,"8,001",12
3016 N 1st St,93703,Aug-20,550000,12,8.0,6052,True,0.42 a,65
5451 E Saginaw Way,93727,Aug-20,279000,3,2.0,1330,True,0.34 a,61
2326 E Minarets Ave,93720,Aug-20,555000,4,3.0,2736,True,"8,450",21
5924 W San Gabriel Ave,93722,Aug-20,270000,3,2.0,1565,True,"6,298",15
6326 W Robinwood Ln,93723,Aug-20,330000,3,2.0,1712,True,"8,276",10
6793 W Fallon Ave,93722,Aug-20,335000,3,2.0,1697,True,"4,950",3
2825 E Harvard Ave,93703,Aug-20,640000,13,9.0,6602,True,0.37 a,67
6905 E Lane Ave,93727,Aug-20,315000,3,2.0,1662,True,0.32 a,44
4731 N Orchard St,93726,Aug-20,260000,3,2.0,1670,True,"7,405",60
4634 E Cambridge Ave #103,93703,Aug-20,101000,2,2.0,988,True,988,2021
882 E Newcastle Ln,93720,Aug-20,395000,3,2.0,1682,True,"6,120",2021
5109 W Hunter Ave,93722,Aug-20,322000,4,2.0,2153,True,"6,586",13
6528 E El Monte Way,93727,Aug-20,299950,4,2.0,1743,True,"5,998",13
1726 N Wishon Ave,93704,Aug-20,325000,2,3.0,1564,True,"4,900",84
6658 E Braly Ave,93727,Aug-20,305000,3,2.5,1539,True,"5,749",13
4743 N Callisch St,93726,Aug-20,330000,4,1.75,2054,True,"8,398",60
2248 N Cecelia Ave,93722,Aug-20,270000,3,2.0,1658,True,"5,998",28
623 W Bullard Ave,93704,Aug-20,320000,3,2.0,1950,True,0.27 a,58
1045 W Harvard Ave,93705,Aug-20,275000,3,2.0,1683,True,"8,293",66
6145 E Peruna Way,93727,Aug-20,280000,3,2.75,1512,True,"2,556",2021
5370 W Flint Way,93722,Aug-20,333000,4,3.0,2615,True,"6,281",21
5823 W Ashcroft Ave,93722,Aug-20,280000,3,2.0,1457,True,"8,102",11
7166 N Fruit Ave #149,93711,Aug-20,181995,2,1.5,1224,True,"1,006",2021
6062 N Spalding Ave,93710,Aug-20,338000,3,2.0,1861,True,"7,701",52
5769 E Hampton Way,93727,Aug-20,279000,3,2.0,1491,True,"10,890",60
2254 S Orangewood Dr,93727,Aug-20,290000,3,2.0,1522,True,"5,998",9
1446 E Calwa Ave,93706,Aug-20,196144,4,2.0,1164,True,"6,873",66
1820 E California Ave,93706,Aug-20,130000,3,1.0,1572,True,"6,250",88
4536 W Princeton Ave,93722,Aug-20,260000,3,2.0,1478,True,"6,098",33
3627 E Pine Ave,93703,Aug-20,230000,3,2.5,1390,True,"7,501",67
4718 E Alamos Ave #103,93726,Aug-20,180000,3,2.0,1649,True,"1,598",2021
2448 W Stuart Ave,93711,Aug-20,750000,3,2.75,2953,True,0.48 a,53
1389 E Brandywine Ln,93720,Aug-20,620000,3,4.0,2426,True,0.66 a,55
8484 N Ann Ave,93720,Aug-20,456000,4,3.0,2290,True,"9,583",16
214 W San Jose Ave,93704,Aug-20,330000,3,3.0,2052,True,0.26 a,61
1325 E Via Roma Dr,93730,Aug-20,699000,5,3.0,3414,True,"6,899",2021
6567 E Platt Ave,93727,Aug-20,293000,5,2.0,1830,True,"6,298",17
8292 N Ann Ave,93720,Aug-20,615500,4,3.0,3430,True,"8,777",17
2035 E Palo Alto Ave,93710,Aug-20,325000,3,1.75,1834,True,"9,178",43
2572 E Portland Ave,93720,Aug-20,350000,3,2.0,1858,True,"5,998",21
214 W San Jose Ave,93704,Aug-20,330000,3,3.0,2052,True,0.26 a,61
1151 S Chestnut Ave #239,93702,Aug-20,90000,2,2.0,1013,True,"1,219",2021
2031 E Cromwell Ave,93720,Aug-20,340000,3,3.0,1717,True,"6,534",31
1151 S Chestnut Ave #116,93702,ug-20,70000,1,1.0,590,False,653,2021
6757 N Constance Ave,93722,ug-20,280000,3,2.0,1474,True,"4,281",27
6040 N Stockdale Dr,93722,ug-20,375000,4,2.0,2064,True,"8,049",2021
6335 N Spalding Ave,93710,ug-20,300000,4,2.0,1796,True,"6,098",49
430 N Claremont Ave,93727,ug-20,287000,4,2.0,1993,True,"6,599",33
8632 N Sierra Vista Ave,93720,ug-20,337250,3,2.0,1476,True,"6,969",27
5849 W Parr Ave,93722,ug-20,300500,3,2.5,1753,True,"5,549",5
1221 N Peach Ave #226,93727,ug-20,75000,2,1.0,850,True,-1,2021
3248 N Hanover Ave,93722,ug-20,255000,3,1.75,1479,True,"6,098",31
1742 E Shadow Glen Dr,93730,ug-20,800000,4,3.0,3400,True,-1,2021
636 E University Ave,93704,ug-20,333000,3,2.0,1493,True,"8,041",97
3495 E Pine Ave,93703,ug-20,215000,2,1.0,1100,True,"8,158",79
1537 N Safford Ave,93728,ug-20,235000,2,1.0,1278,True,"6,651",73
4734 W Menlo Ave,93722,ug-20,267000,3,2.0,1390,True,"5,998",20
4661 E Madison Ave,93702,ug-20,169000,3,1.0,1012,True,"6,098",81
3326 N Fordham Ave,93727,ug-20,238000,3,2.0,1000,True,"6,098",50
666 E Magill Ave,93710,ug-20,225000,2,2.0,1315,True,"3,480",2021
958 E Cornell Ave,93704,ug-20,215000,3,1.0,1067,True,"7,801",68
2674 E Skyview Ave,93720,ug-20,435000,5,3.0,2674,True,"7,021",19
2655 W Barstow Ave,93711,ug-20,485000,5,5.0,3654,True,0.31 a,19
6344 N Palm Ave,93704,ug-20,177000,2,2.0,1152,True,"1,298",2021
4657 E Hamilton Ave,93702,ug-20,184000,3,1.0,938,True,"7,196",60
4778 E Illinois Ave,93702,"4, 2020",240000,3,1.0,1257,True,"9,000",79
6619 N Durant Ave,93711,"4, 2020",360000,3,2.0,2005,True,"9,513",40
1103 W Terrace Ave,93705,"4, 2020",145000,2,1.0,889,True,"6,599",68
4949 N Thorne Ave,93704,"4, 2020",700000,4,3.0,3606,True,0.88 a,42
6467 N Lead Ave,93711,"4, 2020",475000,3,2.0,2391,True,0.32 a,42
7497 E Cortland Ave,93737,"4, 2020",340000,4,2.75,1900,True,"6,359",8
9215 N Stoneridge Ln,93720,"3, 2020",425000,4,2.0,2138,True,"7,840",2021
1544 W Scott Ave,93711,"3, 2020",460000,3,2.0,2432,True,0.33 a,62
918 E Hampton Way,93704,"3, 2020",349950,3,2.0,2106,True,0.29 a,63
5779 W Bluff Ave,93722,"3, 2020",420500,4,4.0,2654,True,"5,998",16
2737 E Fedora Ave,93726,"3, 2020",227000,3,2.0,1663,True,"8,049",64
3550 N Duke Ave #18,93727,"3, 2020",32000,2,2.0,1344,True,-1,41
3807 E Indianapolis Ave,93726,"3, 2020",242000,3,1.75,1328,True,"7,039",60
3703 W Bullard Ave,93711,"3, 2020",145000,2,2.0,1017,True,"1,045",2021
4734 N Teilman Ave,93705,"2, 2020",283000,3,2.0,1508,True,"10,798",59
6739 E Floradora Ave,93727,"2, 2020",505000,3,2.0,1956,True,1.14 a,7
6068 N Gentry Ave,93711,"2, 2020",315000,3,2.0,1747,True,"9,690",39
2126 E Makenna Dr,93730,"2, 2020",350000,2,2.0,1141,True,"4,212",2021
4482 N Barton Ave,93726,"2, 2020",265000,3,1.75,1456,True,"6,490",53
2890 Huntington Blvd #122,93721,"2, 2020",236000,3,3.0,1875,True,"1,803",2021
758 N Bond St,93702,"1, 2020",210000,5,2.0,1730,True,0.31 a,95
4477 N Winery Ave,93726,"1, 2020",250000,3,1.75,1350,True,"6,534",53
3897 N Sequoia Ave,93705,"1, 2020",225000,3,1.0,1074,True,"6,507",65
6056 W Locust Ave,93722,"1, 2020",340000,3,2.0,1664,True,"8,751",28
4402 N Wishon Ave,93704," 31, 2020",640000,3,3.0,2024,True,0.41 a,2021
6424 E Inyo St,93727," 31, 2020",270000,3,2.0,1417,True,"6,499",22
9250 S Elm Ave,93706," 31, 2020",240000,3,1.0,2376,True,0.98 a,60
4628 E Terrace Ave,93703," 31, 2020",215000,2,2.0,1045,True,0.30 a,72
6534 N Dearing Ave,93710," 31, 2020",353500,4,2.0,1951,True,"7,235",46
3170 W Bellaire Way,93722," 31, 2020",232000,3,2.0,1308,True,"7,000",54
4736 W Sussex Way,93722," 31, 2020",275000,4,2.0,1894,True,"6,298",29
479 W Spruce Ave,93650," 28, 2020",170000,5,2.0,1368,True,"6,250",31
7477 N Monte Ave,93711," 28, 2020",660000,4,3.0,3000,True,0.30 a,32
843 E Dartmouth Dr,93730," 28, 2020",590000,4,3.0,2995,True,"10,018",2021
11072 N Valley Dr,93730," 28, 2020",910000,3,3.0,2902,True,"9,517",2021
6598 N 3rd St,93710," 28, 2020",170000,3,1.5,1176,True,797,2021
3734 W Vincent Ln,93711," 28, 2020",315000,3,2.75,1890,True,"4,369",2021
1285 W Sierra Ave,93711," 28, 2020",335000,3,2.0,2031,True,0.36 a,49
1533 E Bremer Ave,93728," 28, 2020",224900,2,1.5,1170,True,"6,490",85
8623 N Richelle Ave,93720," 28, 2020",445000,4,3.0,2300,True,"6,780",16
1609 E Castlebrook Dr,93730," 28, 2020",1039000,5,3.5,3688,True,0.33 a,2021
6734 E Harwood Ave,93727," 28, 2020",320000,4,3.0,1881,True,"6,821",8
2272 E Ryan Ave,93720," 28, 2020",36000,3,2.0,1820,True,"5,998",25
1436 E Salem Ave,93720," 28, 2020",350000,4,2.5,1796,True,"4,656",29
1265 W Barstow Ave,93711," 28, 2020",350000,3,3.0,1957,True,0.31 a,65
1418 E Lansing Way,93704," 28, 2020",219000,3,2.0,1368,True,"7,562",71
2382 E Desert Island Dr,93730," 27, 2020",423000,4,3.0,2207,True,"5,998",21
4733 W Mesa Ave,93722," 27, 2020",320000,3,2.0,1703,True,"6,534",23
552 E Clinton Ave,93704," 27, 2020",322000,3,1.5,1785,True,"7,405",94
234 N Bush Ave,93727," 27, 2020",280000,3,2.0,1504,True,"5,227",30
5005 N Van Ness Blvd,93711," 27, 2020",336000,3,3.0,2393,True,"4,007",2021
710 E Clinton Ave,93704," 27, 2020",276000,2,1.75,1302,True,"8,041",85
5279 E Washington Ave,93727," 27, 2020",315000,3,2.0,1652,True,"8,999",43
4069 W Providence Ave,93722," 27, 2020",270000,3,2.0,1489,True,"6,599",19
4769 E Terrace Ave,93703," 26, 2020",260000,4,2.0,1522,True,"9,748",66
112 W Vassar Ave,93705," 26, 2020",256000,3,1.75,1321,True,"6,952",69
2079 E Makenna Dr,93730," 26, 2020",375000,2,2.5,1753,True,"3,301",2021
2595 S Purdue Ave,93727," 26, 2020",335000,5,2.0,1855,True,0.41 a,10
7353 N Benedict Ave,93711," 26, 2020",737500,4,3.0,3289,True,0.41 a,2021
4545 N Kavanagh Ave,93705," 26, 2020",221000,3,2.0,1124,True,"6,198",46
1671 E Everglade Ave,93720," 26, 2020",345000,3,3.0,1789,True,"5,353",31
1961 W Santa Ana Ave,93705," 26, 2020",220000,2,1.75,1529,True,"3,240",2021
1441 E Andrews Ave,93704," 26, 2020",255000,3,1.5,1387,True,"6,851",92
746 Pottle Ave,93706," 26, 2020",160000,4,2.0,1583,True,"7,501",98
4092 W Pear Tree Ln,93722," 26, 2020",273000,4,2.5,1616,True,"5,100",2021
4808 E San Gabriel Ave,93726," 25, 2020",251000,4,1.75,1506,True,"7,000",57
6382 N Forestiere Ave,93722," 25, 2020",270000,3,2.0,1308,True,"6,242",30
4727 E Grove Ave,93725," 25, 2020",204000,3,1.0,960,True,"6,198",46
1696 E Dorchester Ln,93730," 25, 2020",800000,5,5.0,3289,True,"10,367",2021
11336 N Cherry Sage Ave,93730," 25, 2020",330000,3,2.0,1301,True,"2,940",9
231 E Cole Ave,93720," 25, 2020",227500,2,2.0,1118,True,"1,846",2021
96 E Thomas Ave,93728," 25, 2020",162000,2,2.0,1295,True,"6,499",100
4355 W Yale Ave,93722," 25, 2020",253000,3,2.0,1482,True,"4,199",27
2311 E Birch Ave,93720," 24, 2020",580000,4,4.0,2871,True,"9,147",23
6121 E Fountain Way,93727," 24, 2020",295000,3,2.0,1357,True,"6,934",11
11168 N Valley Dr,93730," 24, 2020",875000,3,3.0,2846,True,"9,517",2021
1512 W Robinson Ave,93705," 24, 2020",256500,3,1.0,1224,True,"7,670",68
8019 E Shields Ave,93737," 24, 2020",391000,4,2.0,2012,True,1.65 a,105
1526 W Barstow Ave,93711," 24, 2020",338000,3,3.0,1934,True,0.28 a,57
4965 E White Ave,93727," 24, 2020",261000,3,1.75,1516,True,0.39 a,53
5142 E Pitt Ave,93725," 24, 2020",300000,4,2.0,1578,True,"6,912",28
4152 E El Monte Way,93702," 24, 2020",167000,3,1.5,1350,True,"6,037",69
4152 E El Monte Way,93702," 24, 2020",167000,3,1.5,1350,True,"6,037",69
8153 N Cedar Ave #222,93720," 21, 2020",202500,2,2.0,1111,True,"1,393",2021
9843 N Tea Party Ln,93720," 21, 2020",660000,4,3.75,3166,True,0.70 a,37
5854 W Norwich Ave,93722," 21, 2020",297000,3,2.0,1457,True,"9,583",10
1423 W Cornell Ave,93705," 21, 2020",221000,3,1.75,1252,True,"7,562",65
1089 E Sarazen Ave,93730," 21, 2020",475000,4,3.0,2080,True,"5,998",15
4919 N Millbrook Ave #121,93726," 21, 2020",115000,1,1.0,795,False,892,2021
4676 W Andrews Ave,93722," 21, 2020",171000,3,1.0,1244,True,0.57 a,63
473 E Alluvial Ave #102,93720," 21, 2020",295000,4,3.0,1798,True,"3,828",2021
3780 W Della Ln,93711," 21, 2020",295000,3,2.5,1622,True,"3,841",2021
4459 E Austin Way,93726," 21, 2020",250000,3,1.75,1398,True,"6,120",61
2931 E Garland Ave,93726," 21, 2020",277500,4,2.0,1712,True,"8,646",64
5883 W Fallon Ave,93722," 21, 2020",312000,3,2.0,1460,True,"5,998",27
355 N Homsy Ave,93727," 21, 2020",285000,3,2.0,1782,True,"7,300",43
4695 E Terrace Ave,93703," 21, 2020",272000,4,2.0,1588,True,"9,700",68
5743 N Sherman Ave,93710,ug-20,275000,3,2.0,1594,True,"8,001",2021
4654 N Chestnut Ave #137,93726,ug-20,132000,3,2.0,1072,True,"1,498",2021
3019 E Donahoo St,93721,ug-20,286000,3,1.75,2022,True,"8,751",51
668 E Blue Ridge Rd,93720,ug-20,520000,4,3.0,2458,True,"9,147",2021
6467 N Tracy Ave,93722,ug-20,267000,3,2.0,1256,True,"6,220",33
3292 E Sample Ave,93710,ug-20,283000,3,1.0,-1,True,"9,147",44
8695 N John Albert Ave,93720,ug-20,482500,3,2.0,2383,True,"9,901",13
1314 E Via Dorata Way,93730,ug-20,385000,3,3.0,1641,True,-1,2021
7166 N Fruit Ave #144,93711,ug-20,190000,2,1.5,1224,True,"1,006",2021
4884 E Pico Ave,93726,ug-20,280000,4,2.5,2191,True,"6,616",53
2434 N 1st St,93703,ug-20,360000,8,4.0,3270,True,"8,398",67
6821 E Cornell Ave,93727,ug-20,380000,4,2.0,2124,True,"6,499",14
474 E Alluvial Ave,93720,ug-20,237000,2,2.25,1068,True,"4,007",2021
5559 N Olinda Ave,93723,ug-20,320000,3,2.0,2000,True,"6,298",14
9520 N Matus Ave,93720,ug-20,425000,3,2.0,2161,True,"7,405",22
3594 W Beechwood Ave,93711,ug-20,298500,2,2.0,1750,True,"5,998",34
1120 E La Sierra Dr,93728,ug-20,170000,2,1.0,780,True,"3,750",80
6195 N West Ave,93711,ug-20,280000,2,1.75,2063,True,"4,939",2021
604 W Cortland Ave,93705,ug-20,259000,3,1.75,1368,True,"8,102",66
5455 N Marty Ave #191,93711,ug-20,205000,3,2.0,1427,True,-1,2021
5264 W Fremont Ave,93722,ug-20,235000,2,1.75,1039,True,"4,791",29
812 W Pine Ave,93728,ug-20,235000,3,1.0,1251,True,"7,318",74
5941 E Montecito Ave,93727,ug-20,361000,4,3.0,2150,True,0.33 a,51
5383 W Roberts Ave,93722,ug-20,327000,4,2.0,2017,True,"7,139",19
2655 E Tarragon Way,93720,ug-20,385000,5,2.0,2165,True,"6,098",2021
6230 N Tamera Ave,93711,ug-20,425000,4,1.75,2378,True,"9,774",42
7395 N Benedict Ave,93711,ug-20,450000,4,2.5,2527,True,0.30 a,2021
1624 N Teilman Ave,93705,ug-20,220000,3,1.75,1720,True,"7,618",73
3771 Circle Dr W,93704,ug-20,279512,3,1.75,1484,True,"8,119",69
4676 N Kavanagh Ave,93705,ug-20,255000,3,2.0,1285,True,-1,2021
493 E Sierra Ave,93710,ug-20,163000,2,1.0,1247,True,"10,193",94
171 N College Ave,93701,ug-20,195000,4,2.0,1485,True,"4,791",108
221 N Burgan Ave,93727,ug-20,275000,3,2.0,1469,True,"5,998",19
3266 W Anthem Dr,93711,Jul-20,410000,4,3.0,2378,True,"4,500",2021
1348 E Richmond Ave,93720,Jul-20,280000,3,1.75,1514,True,"4,704",29
2609 E Skyview Ave,93720,Jul-20,415000,5,2.0,2186,True,"6,420",22
408 E Swallow Ct,93730,Jul-20,532000,4,3.0,2314,True,"8,799",2021
2429 S Lotus Ave,93706,Jul-20,45000,3,1.0,910,True,"7,579",70
559 S Sunnyside Ave,93727,Jul-20,298000,3,2.0,1691,True,"7,148",7
2119 E Makenna Dr,93730,Jul-20,345000,2,2.5,1560,True,-1,2021
2376 S Playa Ave,93727,Jul-20,306000,4,3.0,2348,True,"7,797",13
8153 N Cedar Ave #203,93720,Jul-20,200000,2,2.0,1141,True,"1,406",2021
7425 E Flint Way,93726,Jul-20,391000,4,3.0,2384,True,"5,009",0
1348 E Richmond Ave,93720,Jul-20,280000,3,1.75,1514,True,"4,704",29
7362 N Lacey Dr,93722,Jul-20,385000,4,2.5,2697,True,"5,000",2021
7173 N Hazel Ave,93711,Jul-20,260000,3,2.5,1411,True,"5,000",2021
1661 N State St,93722,Jul-20,400000,5,5.0,3167,True,-1,2021
9756 N Yorktown Dr,93720,Jul-20,802500,4,3.0,2810,True,-1,2021
10848 N Bunkerhill Dr,93730,Jul-20,371000,3,2.0,1466,True,"7,004",15
2680 S Cedar Ave,93725,Jul-20,175000,6,3.0,2456,True,"7,248",90
4588 N Hazel Ave,93722,Jul-20,236000,3,2.0,1090,True,"6,098",48
6221 E Nala Dr,93727,Jul-20,320000,3,3.0,1641,True,"2,730",0
5630 N Augusta St,93710,Jul-20,261000,3,1.75,1436,True,"5,998",55
2689 E Sean Ave,93720,Jul-20,672500,4,4.5,3980,True,0.26 a,2021
5578 E Edna Ave,93727,Jul-20,315000,4,2.0,1777,True,"7,021",7
4538 E Pine Ave,93703,Jul-20,115000,2,1.0,858,True,"9,670",75
3266 W Anthem Dr,93711,Jul-20,410000,4,3.0,2378,True,"4,500",2021
10443 N Woodrow Ave,93730,Jul-20,339000,3,2.0,1678,True,"5,301",23
1257 E Le Parc Dr,93720,Jul-20,375000,3,2.5,1857,True,"5,998",2021
5647 W Indianapolis Ave,93722,Jul-20,250000,3,2.0,1407,True,"4,748",25
646 E Beverly Way,93704,Jul-20,186000,3,1.75,1158,True,"7,579",74
1350 N Chestnut Ave,93703,Jul-20,205000,3,1.75,1176,True,"6,899",60
4978 E Iowa Ave,93727,Jul-20,220000,3,1.0,1092,True,0.27 a,71
5647 W Indianapolis Ave,93722,Jul-20,250000,3,2.0,1407,True,"4,748",25
2320 W Carmen Ave,93728,Jul-20,252000,4,2.0,1454,True,"10,049",61
10443 N Woodrow Ave,93730,Jul-20,339000,3,2.0,1678,True,"5,301",23
2035 N Van Ness Blvd,93704,Jul-20,649000,3,1.0,-1,True,"6,229",83
3412 N Redda Rd,93737,Jul-20,370000,5,3.0,2046,True,"6,263",8
7464 E Robinson Ave,93737,Jul-20,318500,3,2.5,1780,True,-1,2021
2555 W Bluff Ave #168,93711,Jul-20,600000,3,2.0,2528,True,"9,901",2021
379 N Delno Ave,93706,Jul-20,115000,3,1.0,1028,True,"7,618",95
5478 E Butler Ave,93727,Jul-20,590000,3,3.5,4182,True,0.74 a,47
4588 S Maple Ave,93725,Jul-20,385000,2,3.0,2344,True,1.00 a,70
2618 W Shields Ave,93705,Jul-20,275000,6,3.0,2385,True,"9,713",72
1213 E Simpson Ave,93704,Jul-20,240000,3,2.0,1178,True,"8,102",68
2905 N Vagedes Ave,93705,Jul-20,240000,2,1.0,1285,True,"7,222",70
1014 N Arthur Ave,93728,Jul-20,-1,2,1.0,804,True,-1,93
5430 W Paul Ave,93722,Jul-20,285500,3,2.0,1754,True,"6,599",30
1429 E Via Viola Way,93730,Jul-20,369500,3,3.0,1641,True,"2,354",2021
1866 E Lester Ave,93720,Jul-20,380000,4,3.0,2234,True,"6,534",28
7488 N Highgrove Ln,93711,Jul-20,1600000,5,6.0,5223,True,0.44 a,13
6460 N Tahan Ave,93711,Jul-20,607000,4,3.0,3222,True,0.35 a,43
6240 N Ellendale Ave,93722,Jul-20,290000,3,2.0,1712,True,"7,139",31
5434 E Pontiac Way,93727,Jul-20,310000,3,2.0,1504,True,0.34 a,65
5224 E Hoxie Ave,93725,Jul-20,283000,3,2.0,1715,True,"8,881",9
358 E Deer Creek Ln,93720,Jul-20,309000,3,2.5,1550,True,"5,340",2021
6055 E Lowe Ave,93727,Jul-20,305000,3,2.5,1712,True,0.33 a,63
4583 E Illinois Ave,93702,Jul-20,159500,3,1.0,902,True,"6,250",90
358 E Deer Creek Ln,93720,Jul-20,309000,3,2.5,1550,True,"5,340",2021
896 E Minarets Ave,93720,Jul-20,380000,4,2.0,2427,True,"8,498",42
4781 E Simpson Ave,93703,Jul-20,150000,3,2.0,1325,True,-1,2021
750 W Weldon Ave,93705,Jul-20,190500,3,1.5,1051,True,"5,641",110
1229 W Bullard Ave #116,93711,Jul-20,250000,2,2.0,1470,True,"3,598",2021
6169 W Concordia Dr,93722,Jul-20,340000,3,3.0,2145,True,"5,148",2021
922 E Kaviland Ave,93706,Jul-20,165000,2,1.0,876,True,"7,126",69
1175 E Lexington Ave,93720,Jul-20,365000,4,1.75,2169,True,"5,998",30
10864 N Braden Way,93730,Jul-20,360000,3,2.0,1308,True,"4,098",2021
175 W Omaha Ave,93711,Jul-20,321000,3,2.0,1430,True,"5,998",40
8735 N Cedar Ave #138,93720,Jul-20,295000,3,2.0,1415,True,"4,020",2021
1512 E Cornell Ave,93704,Jul-20,225000,3,2.0,1552,True,"6,351",73
3704 Kenmore Dr N,93703,Jul-20,204000,2,1.0,1032,True,"6,398",69
5207 W Warner Ave,93722,Jul-20,229000,2,1.75,1039,True,"4,199",29
5129 W Roberts Ave,93722,Jul-20,385000,5,3.0,2577,True,0.25 a,19
601 N Hughes Ave,93728,Jul-20,146000,1,1.0,772,False,0.83 a,73
1629 N Channing Ave,93705,Jul-20,187500,2,1.75,1564,True,"10,441",85
1036 W Vassar Ave,93705,Jul-20,225000,2,1.75,1319,True,"7,187",70
539 W Scott Ave,93704,Jul-20,230000,2,2.0,1622,True,"2,861",2021
4786 E Madison Ave,93702,Jul-20,225000,2,1.0,1160,True,"8,058",73
4512 W Cornell Ave,93722,Jul-20,335000,6,3.0,2432,True,"7,148",21
7680 N Gregory Ave,93722,Jul-20,378000,4,2.75,2228,True,0.32 a,24
1430 W Escalon Ave,93711,Jul-20,464950,4,2.5,3008,True,0.30 a,50
7748 N Woodrow Ave,93720,Jul-20,375000,4,2.0,1969,True,"7,000",32
2396 N Cecelia Ave,93722,Jul-20,255000,3,2.0,1510,True,"5,131",30
545 W Andrews Ave,93705,Jul-20,232000,3,1.0,1211,True,"6,899",71
545 W Andrews Ave,93705,Jul-20,232000,3,1.0,1211,True,"6,899",71
4512 W Cornell Ave,93722,Jul-20,335000,6,3.0,2432,True,"7,148",21
2890 Huntington Blvd #167,93721,Jul-20,195000,2,3.0,1623,True,"1,089",2021
4786 E Madison Ave,93702,Jul-20,225000,2,1.0,1160,True,"8,058",73
3770 W Barstow Ave #146,93711,Jul-20,215000,3,1.75,1427,True,"1,886",2021
2396 N Cecelia Ave,93722,Jul-20,255000,3,2.0,1510,True,"5,131",30
7748 N Woodrow Ave,93720,Jul-20,375000,4,2.0,1969,True,"7,000",32
336 E Alluvial Ave #156,93720,Jul-20,30000,2,2.0,1056,True,-1,39
4027 E El Monte Way,93702,Jul-20,160000,3,1.75,1224,True,"5,000",42
2727 N McArthur Ave,93727,Jul-20,450000,3,3.0,2194,True,"7,864",0
8739 N 7th St,93720,Jul-20,540000,4,2.75,2995,True,0.26 a,33
2439 W Scott Ave,93711,Jul-20,325000,3,2.0,1734,True,0.55 a,60
3925 E Indianapolis Ave,93726,Jul-20,268000,4,2.75,1830,True,"6,599",60
5649 W Los Altos Ave,93722,Jul-20,340000,3,2.0,1867,True,"6,599",29
6715 E Townsend Ave,93727,Jul-20,312000,4,2.0,1800,True,"8,023",7
1110 N Palm Ave,93728,Jul-20,195000,2,1.5,972,True,"5,000",94
346 S Dearing Ave,93702,Jul-20,150000,2,1.0,708,True,"4,700",75
