Title,Title_link,Thumbnail,Box-sc-8ox7qa-0,Text__TextBase-sc-1i9uasc-0-div,Text__TextBase-sc-1i9uasc-0-div1,Text__TextBase-sc-1i9uasc-0-div2,Text__TextBase-sc-1i9uasc-0-div3,SSeMC,Padding-sc-1d43y5s-01,cERLyX,Field2,Field3
4894 E Pico Ave,https://www.trulia.com/p/ca/fresno/4894-e-pico-ave-fresno-ca-93726--2117061683,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",20-Aug-20,"$250,000 ",4bd,2ba,"1,502 sqft","1,502 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 6,616 sqft",Built in 1967
2575 S Willow Ave #132,https://www.trulia.com/p/ca/fresno/2575-s-willow-ave-132-fresno-ca-93725--2449182717,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Aug-20,"$79,000 ",3bd,2ba,"1,248 sqft","1,248 sqft","Roosevelt, Fresno, CA",2ba,$50/monthly HOA,Built in 2019
1340 W Dyer Ave,https://www.trulia.com/p/ca/fresno/1340-w-dyer-ave-fresno-ca-93711--2116987596,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Aug-20,"$279,250 ",3bd,1.75ba,"1,090 sqft","1,090 sqft","Bullard, Fresno, CA",1.75ba,"Lot Size: 6,298 sqft",Built in 1977
4061 N Van Ness Blvd,https://www.trulia.com/p/ca/fresno/4061-n-van-ness-blvd-fresno-ca-93704--2116952391,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Aug-20,"$512,000 ",3bd,2ba,"2,234 sqft","2,234 sqft","Bullard, Fresno, CA",2ba,Lot Size: 0.30 acres,$70/monthly HOA
6669 N Remington Ave,https://www.trulia.com/p/ca/fresno/6669-n-remington-ave-fresno-ca-93704--2116956358,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",19-Aug-20,"$402,500 ",4bd,2.75ba,"2,499 sqft","2,499 sqft","Bullard, Fresno, CA",2.75ba,Lot Size: 0.25 acres,Built in 1978
4061 N Van Ness Blvd,https://www.trulia.com/p/ca/fresno/4061-n-van-ness-blvd-fresno-ca-93704--2116952391,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=4061%20N%20Van%20Ness%20Blvd%20Fresno%20CA%2093704&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=QmOnH89dG6luYe0kAixtabqmJNE%3D,19-Aug-20,"$512,000 ",3bd,2ba,"2,234 sqft","2,234 sqft","Bullard, Fresno, CA",2ba,Lot Size: 0.30 acres,$70/monthly HOA
5895 W Richert Ave,https://www.trulia.com/p/ca/fresno/5895-w-richert-ave-fresno-ca-93722--2117036495,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=5895%20W%20Richert%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=34x_ylz7dYEkUq7TqYyK9qQyDVk%3D,18-Aug-20,"$339,000 ",4bd,2ba,"2,119 sqft","2,119 sqft","West, Fresno, CA",2ba,"Lot Size: 7,474 sqft",Built in 2009
3210 W Illumination Dr,https://www.trulia.com/p/ca/fresno/3210-w-illumination-dr-fresno-ca-93711--2116992502,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=3210%20W%20Illumination%20Dr%20Fresno%20CA%2093711&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=FQmcV7j8j2bFJZyDo8V7M6jtWac%3D,18-Aug-20,"$280,000 ",3bd,3ba,"1,413 sqft","1,413 sqft","Bullard, Fresno, CA",3ba,"Lot Size: 3,049 sqft",$77/monthly HOA
10764 N Backer Ave,https://www.trulia.com/p/ca/fresno/10764-n-backer-ave-fresno-ca-93730--1054389785,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=10764%20N%20Backer%20Ave%20Fresno%20CA%2093730&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=hJDIcaor5OYfW4vWo-RxcwI7cOI%3D,18-Aug-20,"$876,500 ",4bd,4ba,"3,534 sqft","3,534 sqft","Woodward Park, Fresno, CA",4ba,Lot Size: 0.26 acres,Built in 2007
9238 N Jade Ave,https://www.trulia.com/p/ca/fresno/9238-n-jade-ave-fresno-ca-93720--2117014620,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$357,500 ",4bd,2ba,"2,026 sqft","2,026 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 5,967 sqft",Built in 2001
4421 E Hedges Ave,https://www.trulia.com/p/ca/fresno/4421-e-hedges-ave-fresno-ca-93703--1002249180,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$570,000 ",12bd,6ba,"4,608 sqft","4,608 sqft","Roosevelt, Fresno, CA",6ba,"Lot Size: 10,497 sqft",Built in 1967
7114 N Woodson Ave,https://www.trulia.com/p/ca/fresno/7114-n-woodson-ave-fresno-ca-93711--2116998822,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$700,000 ",5bd,3ba,"3,251 sqft","3,251 sqft","Bullard, Fresno, CA",3ba,Lot Size: 0.52 acres,Built in 1970
4431 E Hedges Ave,https://www.trulia.com/p/ca/fresno/4431-e-hedges-ave-fresno-ca-93703--1006275410,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$570,000 ",12bd,6ba,"4,608 sqft","4,608 sqft","Roosevelt, Fresno, CA",6ba,Gated Entry,
8153 N Cedar Ave #210,https://www.trulia.com/p/ca/fresno/8153-n-cedar-ave-210-fresno-ca-93720--2117011902,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$200,000 ",2bd,2ba,"1,111 sqft","1,111 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 1,406 sqft",$270/monthly HOA
2644 E Portland Ave,https://www.trulia.com/p/ca/fresno/2644-e-portland-ave-fresno-ca-93720--2117006577,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$423,500 ",3bd,2ba,"1,858 sqft","1,858 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 5,998 sqft",Built in 1999
3513 W Vartikian Ave,https://www.trulia.com/p/ca/fresno/3513-w-vartikian-ave-fresno-ca-93711--2116993371,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$440,000 ",4bd,3ba,"2,306 sqft","2,306 sqft","Bullard, Fresno, CA",3ba,"Lot Size: 7,866 sqft",Built in 1992
5363 E Tower Ave,https://www.trulia.com/p/ca/fresno/5363-e-tower-ave-fresno-ca-93725--2117050777,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$308,000 ",4bd,2ba,"1,773 sqft","1,773 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 5,998 sqft",Built in 2011
2174 N Antioch Ave,https://www.trulia.com/p/ca/fresno/2174-n-antioch-ave-fresno-ca-93722--2117018456,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$250,000 ",3bd,2ba,"1,231 sqft","1,231 sqft","West, Fresno, CA",2ba,"Lot Size: 4,791 sqft",Built in 1994
6625 N Forkner Ave,https://www.trulia.com/p/ca/fresno/6625-n-forkner-ave-fresno-ca-93711--2116997773,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$585,000 ",5bd,3.5ba,"3,768 sqft","3,768 sqft","Bullard, Fresno, CA",3.5ba,Lot Size: 0.47 acres,Built in 1970
2038 E Axelson Dr,https://www.trulia.com/p/ca/fresno/2038-e-axelson-dr-fresno-ca-93730--2117089663,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$355,000 ",2bd,2ba,"1,141 sqft","1,141 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 3,049 sqft",$150/monthly HOA
5375 E White Ave,https://www.trulia.com/p/ca/fresno/5375-e-white-ave-fresno-ca-93727--2117072828,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$320,000 ",4bd,1.75ba,"1,960 sqft","1,960 sqft","Roosevelt, Fresno, CA",1.75ba,Lot Size: 0.37 acres,Built in 1952
6372 N Sharon Ave,https://www.trulia.com/p/ca/fresno/6372-n-sharon-ave-fresno-ca-93710--2116984400,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$365,000 ",4bd,3ba,"2,420 sqft","2,420 sqft","Hoover, Fresno, CA",3ba,"Lot Size: 10,367 sqft",Built in 1970
821 W Pontiac Way,https://www.trulia.com/p/ca/fresno/821-w-pontiac-way-fresno-ca-93705--2116967172,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$240,000 ",3bd,1.75ba,"1,124 sqft","1,124 sqft","Fresno High Roeding, Fresno, CA",1.75ba,"Lot Size: 6,499 sqft",Built in 1960
7427 N Sierra Vista Ave,https://www.trulia.com/p/ca/fresno/7427-n-sierra-vista-ave-fresno-ca-93720--2117009976,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$420,000 ",4bd,2ba,"2,238 sqft","2,238 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 8,698 sqft",Built in 1998
2380 S Sabre Ave,https://www.trulia.com/p/ca/fresno/2380-s-sabre-ave-fresno-ca-93727--2117064879,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",18-Aug-20,"$293,500 ",4bd,2ba,"1,486 sqft","1,486 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 8,001 sqft",Built in 2008
3016 N 1st St,https://www.trulia.com/p/ca/fresno/3016-n-1st-st-fresno-ca-93703--2116943528,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Aug-20,"$550,000 ",12bd,8ba,"6,052 sqft","6,052 sqft","Mclane, Fresno, CA",8ba,Lot Size: 0.42 acres,Built in 1955
5451 E Saginaw Way,https://www.trulia.com/p/ca/fresno/5451-e-saginaw-way-fresno-ca-93727--2117073370,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",17-Aug-20,"$279,000 ",3bd,2ba,"1,330 sqft","1,330 sqft","Fresno, CA",2ba,Lot Size: 0.34 acres,Built in 1959
2326 E Minarets Ave,https://www.trulia.com/p/ca/fresno/2326-e-minarets-ave-fresno-ca-93720--2117005519,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$555,000 ",4bd,3ba,"2,736 sqft","2,736 sqft","Woodward Park, Fresno, CA",3ba,"Lot Size: 8,450 sqft",Built in 1999
5924 W San Gabriel Ave,https://www.trulia.com/p/ca/fresno/5924-w-san-gabriel-ave-fresno-ca-93722--2117036627,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$270,000 ",3bd,2ba,"1,565 sqft","1,565 sqft","West, Fresno, CA",2ba,"Lot Size: 6,298 sqft",Built in 2005
6326 W Robinwood Ln,https://www.trulia.com/p/ca/fresno/6326-w-robinwood-ln-fresno-ca-93723--2117042642,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$330,000 ",3bd,2ba,"1,712 sqft","1,712 sqft","West, Fresno, CA",2ba,"Lot Size: 8,276 sqft",Built in 2010
6793 W Fallon Ave,https://www.trulia.com/p/ca/fresno/6793-w-fallon-ave-fresno-ca-93722--2324509462,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$335,000 ",3bd,2ba,"1,697 sqft","1,697 sqft","Bullard, Fresno, CA",2ba,"Lot Size: 4,950 sqft",Built in 2017
2825 E Harvard Ave,https://www.trulia.com/p/ca/fresno/2825-e-harvard-ave-fresno-ca-93703--2116942860,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$640,000 ",13bd,9ba,"6,602 sqft","6,602 sqft","Mclane, Fresno, CA",9ba,Lot Size: 0.37 acres,Built in 1953
6905 E Lane Ave,https://www.trulia.com/p/ca/fresno/6905-e-lane-ave-fresno-ca-93727--2117080240,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$315,000 ",3bd,2ba,"1,662 sqft","1,662 sqft","Fresno, CA",2ba,Lot Size: 0.32 acres,Built in 1976
4731 N Orchard St,https://www.trulia.com/p/ca/fresno/4731-n-orchard-st-fresno-ca-93726--2117060575,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$260,000 ",3bd,2ba,"1,670 sqft","1,670 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 7,405 sqft",Built in 1960
4634 E Cambridge Ave #103,https://www.trulia.com/p/ca/fresno/4634-e-cambridge-ave-103-fresno-ca-93703--2116946735,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",14-Aug-20,"$101,000 ",2bd,2ba,988 sqft,988 sqft,"Mclane, Fresno, CA",2ba,Lot Size: 988 sqft,$175/monthly HOA
882 E Newcastle Ln,https://www.trulia.com/p/ca/fresno/882-e-newcastle-ln-fresno-ca-93720--2117013758,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=882%20E%20Newcastle%20Ln%20Fresno%20CA%2093720&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=vDU0fvmFrctY4qpLg_yAYI7MXP8%3D,13-Aug-20,"$395,000 ",3bd,2ba,"1,682 sqft","1,682 sqft","Woodward Park, Fresno, CA",2ba,"Lot Size: 6,120 sqft",$41/monthly HOA
5109 W Hunter Ave,https://www.trulia.com/p/ca/fresno/5109-w-hunter-ave-fresno-ca-93722--2117030711,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=5109%20W%20Hunter%20Ave%20Fresno%20CA%2093722&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=D-H0_WXzgM0sZBILDYaOL3CMLfo%3D,13-Aug-20,"$322,000 ",4bd,2ba,"2,153 sqft","2,153 sqft","West, Fresno, CA",2ba,"Lot Size: 6,586 sqft",Built in 2007
6528 E El Monte Way,https://www.trulia.com/p/ca/fresno/6528-e-el-monte-way-fresno-ca-93727--2117079100,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=6528%20E%20El%20Monte%20Way%20Fresno%20CA%2093727&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=N7RLBd32YUdytTV9aU4RNtTgtnw%3D,13-Aug-20,"$299,950 ",4bd,2ba,"1,743 sqft","1,743 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 5,998 sqft",Built in 2007
1726 N Wishon Ave,https://www.trulia.com/p/ca/fresno/1726-n-wishon-ave-fresno-ca-93704--2116950244,https://maps.googleapis.com/maps/api/streetview?size=320x240&location=1726%20N%20Wishon%20Ave%20Fresno%20CA%2093704&key=AIzaSyCzWKDOMLGYlR3C9dltAR7sbLvcQEWNcvc&signature=8SfYp3QghU1GJSFbq2fqCXyV3o8%3D,13-Aug-20,"$325,000 ",2bd,3ba,"1,564 sqft","1,564 sqft","Fresno High Roeding, Fresno, CA",3ba,"Lot Size: 4,900 sqft",Built in 1936
6658 E Braly Ave,https://www.trulia.com/p/ca/fresno/6658-e-braly-ave-fresno-ca-93727--2117079571,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Aug-20,"$305,000 ",3bd,2.5ba,"1,539 sqft","1,539 sqft","Roosevelt, Fresno, CA",2.5ba,"Lot Size: 5,749 sqft",Built in 2007
4743 N Callisch St,https://www.trulia.com/p/ca/fresno/4743-n-callisch-st-fresno-ca-93726--2117060670,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Aug-20,"$330,000 ",4bd,1.75ba,"2,054 sqft","2,054 sqft","Hoover, Fresno, CA",1.75ba,"Lot Size: 8,398 sqft",Built in 1960
2248 N Cecelia Ave,https://www.trulia.com/p/ca/fresno/2248-n-cecelia-ave-fresno-ca-93722--2117018627,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Aug-20,"$270,000 ",3bd,2ba,"1,658 sqft","1,658 sqft","West, Fresno, CA",2ba,"Lot Size: 5,998 sqft",Built in 1992
623 W Bullard Ave,https://www.trulia.com/p/ca/fresno/623-w-bullard-ave-fresno-ca-93704--2116955436,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Aug-20,"$320,000 ",3bd,2ba,"1,950 sqft","1,950 sqft","Bullard, Fresno, CA",2ba,Lot Size: 0.27 acres,Built in 1962
1045 W Harvard Ave,https://www.trulia.com/p/ca/fresno/1045-w-harvard-ave-fresno-ca-93705--2116958198,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",13-Aug-20,"$275,000 ",3bd,2ba,"1,683 sqft","1,683 sqft","Fresno High Roeding, Fresno, CA",2ba,"Lot Size: 8,293 sqft",Built in 1954
6145 E Peruna Way,https://www.trulia.com/p/ca/fresno/6145-e-peruna-way-fresno-ca-93727--2357191732,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$280,000 ",3bd,2.75ba,"1,512 sqft","1,512 sqft","Roosevelt, Fresno, CA",2.75ba,"Lot Size: 2,556 sqft",$104/monthly HOA
5370 W Flint Way,https://www.trulia.com/p/ca/fresno/5370-w-flint-way-fresno-ca-93722--2117032529,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$333,000 ",4bd,3ba,"2,615 sqft","2,615 sqft","West, Fresno, CA",3ba,"Lot Size: 6,281 sqft",Built in 1999
5823 W Ashcroft Ave,https://www.trulia.com/p/ca/fresno/5823-w-ashcroft-ave-fresno-ca-93722--2117036129,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$280,000 ",3bd,2ba,"1,457 sqft","1,457 sqft","West, Fresno, CA",2ba,"Lot Size: 8,102 sqft",Built in 2009
7166 N Fruit Ave #149,https://www.trulia.com/p/ca/fresno/7166-n-fruit-ave-149-fresno-ca-93711--2116999006,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$181,995 ",2bd,1.5ba,"1,224 sqft","1,224 sqft","Bullard, Fresno, CA",1.5ba,"Lot Size: 1,006 sqft",$228/monthly HOA
6062 N Spalding Ave,https://www.trulia.com/p/ca/fresno/6062-n-spalding-ave-fresno-ca-93710--1058879730,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$338,000 ",3bd,2ba,"1,861 sqft","1,861 sqft","Hoover, Fresno, CA",2ba,"Lot Size: 7,701 sqft",Built in 1968
5769 E Hampton Way,https://www.trulia.com/p/ca/fresno/5769-e-hampton-way-fresno-ca-93727--2117075666,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",12-Aug-20,"$279,000 ",3bd,2ba,"1,491 sqft","1,491 sqft","Fresno, CA",2ba,"Lot Size: 10,890 sqft",Built in 1960
2254 S Orangewood Dr,https://www.trulia.com/p/ca/fresno/2254-s-orangewood-dr-fresno-ca-93727--2117064525,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Aug-20,"$290,000 ",3bd,2ba,"1,522 sqft","1,522 sqft","Roosevelt, Fresno, CA",2ba,"Lot Size: 5,998 sqft",Built in 2011
1446 E Calwa Ave,https://www.trulia.com/p/ca/fresno/1446-e-calwa-ave-fresno-ca-93706--2116969694,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Aug-20,"$196,144 ",4bd,2ba,"1,164 sqft","1,164 sqft","Edison, Fresno, CA",2ba,"Lot Size: 6,873 sqft",Built in 1954
1820 E California Ave,https://www.trulia.com/p/ca/fresno/1820-e-california-ave-fresno-ca-93706--2116970508,"https://www.trulia.com/data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",11-Aug-20,"$130,000 ",3bd,1ba,"1,572 sqft","1,572 sqft","Edison, Fresno, CA",1ba,"Lot Size: 6,250 sqft",Built in 1932
