Address,Zipcode,Date Sold,Sold Price,Bed,Bath,Square foot,SFR,Lot Size,Age of Building,Parks,SexualOffenders
5849 W Parr Ave,93722,ug-20,300500.0,3,2.5,1753,True," 5,549 ",5,0,163
1221 N Peach Ave #226,93727,ug-20,75000.0,2,1,850,True,-1,-1,7,103
3248 N Hanover Ave,93722,ug-20,255000.0,3,1.75,1479,True," 6,098 ",31,0,163
1742 E Shadow Glen Dr,93730,ug-20,800000.0,4,3,3400,True,-1,-1,0,0
636 E University Ave,93704,ug-20,333000.0,3,2,1493,True," 8,041 ",97,2,93
3495 E Pine Ave,93703,ug-20,215000.0,2,1,1100,True," 8,158 ",79,3,92
1537 N Safford Ave,93728,ug-20,235000.0,2,1,1278,True," 6,651 ",73,1,77
4734 W Menlo Ave,93722,ug-20,267000.0,3,2,1390,True," 5,998 ",20,0,163
4661 E Madison Ave,93702,ug-20,169000.0,3,1,1012,True," 6,098 ",81,2,101
3326 N Fordham Ave,93727,ug-20,238000.0,3,2,1000,True," 6,098 ",50,7,103
666 E Magill Ave,93710,ug-20,225000.0,2,2,1315,True," 3,480 ",-1,4,60
958 E Cornell Ave,93704,ug-20,215000.0,3,1,1067,True," 7,801 ",68,2,93
2674 E Skyview Ave,93720,ug-20,435000.0,5,3,2674,True," 7,021 ",19,4,31
2655 W Barstow Ave,93711,ug-20,485000.0,5,5,3654,True, 0.31 a,19,5,29
6344 N Palm Ave,93704,ug-20,177000.0,2,2,1152,True," 1,298 ",-1,2,93
4657 E Hamilton Ave,93702,ug-20,184000.0,3,1,938,True," 7,196 ",60,2,101
4778 E Illinois Ave,93702," 4, 2020",240000.0,3,1,1257,True," 9,000 ",79,2,101
6619 N Durant Ave,93711," 4, 2020",360000.0,3,2,2005,True," 9,513 ",40,5,29
1103 W Terrace Ave,93705," 4, 2020",145000.0,2,1,889,True," 6,599 ",68,0,100
4949 N Thorne Ave,93704," 4, 2020",700000.0,4,3,3606,True, 0.88 a,42,2,93
6467 N Lead Ave,93711," 4, 2020",475000.0,3,2,2391,True, 0.32 a,42,5,29
7497 E Cortland Ave,93737," 4, 2020",340000.0,4,2.75,1900,True," 6,359 ",8,0,5
9215 N Stoneridge Ln,93720," 3, 2020",425000.0,4,2,2138,True," 7,840 ",-1,4,31
1544 W Scott Ave,93711," 3, 2020",460000.0,3,2,2432,True, 0.33 a,62,5,29
918 E Hampton Way,93704," 3, 2020",349950.0,3,2,2106,True, 0.29 a,63,2,93
1721 N State St,93722," 3, 2020",376350.0,Studio,1,-1,False,-1,-1,0,163
5779 W Bluff Ave,93722," 3, 2020",420500.0,4,4,2654,True," 5,998 ",16,0,163
2737 E Fedora Ave,93726," 3, 2020",227000.0,3,2,1663,True," 8,049 ",64,8,94
3550 N Duke Ave #18,93727," 3, 2020",32000.0,2,2,1344,True,-1,41,7,103
3807 E Indianapolis Ave,93726," 3, 2020",242000.0,3,1.75,1328,True," 7,039 ",60,8,94
3703 W Bullard Ave,93711," 3, 2020",145000.0,2,2,1017,True," 1,045 ",-1,5,29
4734 N Teilman Ave,93705," 2, 2020",283000.0,3,2,1508,True," 10,798 ",59,0,100
6739 E Floradora Ave,93727," 2, 2020",505000.0,3,2,1956,True, 1.14 a,7,7,103
6068 N Gentry Ave,93711," 2, 2020",315000.0,3,2,1747,True," 9,690 ",39,5,29
2126 E Makenna Dr,93730," 2, 2020",350000.0,2,2,1141,True," 4,212 ",-1,0,0
4482 N Barton Ave,93726," 2, 2020",265000.0,3,1.75,1456,True," 6,490 ",53,8,94
2890 Huntington Blvd #122,93721," 2, 2020",236000.0,3,3,1875,True," 1,803 ",-1,0,0
758 N Bond St,93702," 1, 2020",210000.0,5,2,1730,True, 0.31 a,95,2,101
4477 N Winery Ave,93726," 1, 2020",250000.0,3,1.75,1350,True," 6,534 ",53,8,94
3897 N Sequoia Ave,93705," 1, 2020",225000.0,3,1,1074,True," 6,507 ",65,0,100
6056 W Locust Ave,93722," 1, 2020",340000.0,3,2,1664,True," 8,751 ",28,0,163
4402 N Wishon Ave,93704," 31, 2020",640000.0,3,3,2024,True, 0.41 a,-1,2,93
6424 E Inyo St,93727," 31, 2020",270000.0,3,2,1417,True," 6,499 ",22,7,103
9250 S Elm Ave,93706," 31, 2020",240000.0,3,1,2376,True, 0.98 a,60,0,176
4628 E Terrace Ave,93703," 31, 2020",215000.0,2,2,1045,True, 0.30 a,72,3,92
6534 N Dearing Ave,93710," 31, 2020",353500.0,4,2,1951,True," 7,235 ",46,4,60
3170 W Bellaire Way,93722," 31, 2020",232000.0,3,2,1308,True," 7,000 ",54,0,163
4736 W Sussex Way,93722," 31, 2020",275000.0,4,2,1894,True," 6,298 ",29,0,163
479 W Spruce Ave,93650," 28, 2020",170000.0,5,2,1368,True," 6,250 ",31,0,0
7477 N Monte Ave,93711," 28, 2020",660000.0,4,3,3000,True, 0.30 a,32,5,29
843 E Dartmouth Dr,93730," 28, 2020",590000.0,4,3,2995,True," 10,018 ",-1,0,0
11072 N Valley Dr,93730," 28, 2020",910000.0,3,3,2902,True," 9,517 ",-1,0,0
2381 S Justin Ave,93725," 28, 2020",299115.0,Studio,1,-1,False,-1,-1,0,54
6598 N 3rd St,93710," 28, 2020",170000.0,3,1.5,1176,True, 797 ,-1,4,60
3734 W Vincent Ln,93711," 28, 2020",315000.0,3,2.75,1890,True," 4,369 ",-1,5,29
1285 W Sierra Ave,93711," 28, 2020",335000.0,3,2,2031,True, 0.36 a,49,5,29
1533 E Bremer Ave,93728," 28, 2020",224900.0,2,1.5,1170,True," 6,490 ",85,1,77
8623 N Richelle Ave,93720," 28, 2020",445000.0,4,3,2300,True," 6,780 ",16,4,31
1609 E Castlebrook Dr,93730," 28, 2020",1039000.0,5,3.5,3688,True, 0.33 a,-1,0,0
6734 E Harwood Ave,93727," 28, 2020",320000.0,4,3,1881,True," 6,821 ",8,7,103
2272 E Ryan Ave,93720," 28, 2020",36000.0,3,2,1820,True," 5,998 ",25,4,31
1436 E Salem Ave,93720," 28, 2020",350000.0,4,2.5,1796,True," 4,656 ",29,4,31
1265 W Barstow Ave,93711," 28, 2020",350000.0,3,3,1957,True, 0.31 a,65,5,29
1418 E Lansing Way,93704," 28, 2020",219000.0,3,2,1368,True," 7,562 ",71,2,93
2382 E Desert Island Dr,93730," 27, 2020",423000.0,4,3,2207,True," 5,998 ",21,0,0
4733 W Mesa Ave,93722," 27, 2020",320000.0,3,2,1703,True," 6,534 ",23,0,163
552 E Clinton Ave,93704," 27, 2020",322000.0,3,1.5,1785,True," 7,405 ",94,2,93
234 N Bush Ave,93727," 27, 2020",280000.0,3,2,1504,True," 5,227 ",30,7,103
5005 N Van Ness Blvd,93711," 27, 2020",336000.0,3,3,2393,True," 4,007 ",-1,5,29
710 E Clinton Ave,93704," 27, 2020",276000.0,2,1.75,1302,True," 8,041 ",85,2,93
5279 E Washington Ave,93727," 27, 2020",315000.0,3,2,1652,True," 8,999 ",43,7,103
4069 W Providence Ave,93722," 27, 2020",270000.0,3,2,1489,True," 6,599 ",19,0,163
4769 E Terrace Ave,93703," 26, 2020",260000.0,4,2,1522,True," 9,748 ",66,3,92
112 W Vassar Ave,93705," 26, 2020",256000.0,3,1.75,1321,True," 6,952 ",69,0,100
2079 E Makenna Dr,93730," 26, 2020",375000.0,2,2.5,1753,True," 3,301 ",-1,0,0
2595 S Purdue Ave,93727," 26, 2020",335000.0,5,2,1855,True, 0.41 a,10,7,103
7353 N Benedict Ave,93711," 26, 2020",737500.0,4,3,3289,True, 0.41 a,-1,5,29
4545 N Kavanagh Ave,93705," 26, 2020",221000.0,3,2,1124,True," 6,198 ",46,0,100
1671 E Everglade Ave,93720," 26, 2020",345000.0,3,3,1789,True," 5,353 ",31,4,31
1961 W Santa Ana Ave,93705," 26, 2020",220000.0,2,1.75,1529,True," 3,240 ",-1,0,100
1441 E Andrews Ave,93704," 26, 2020",255000.0,3,1.5,1387,True," 6,851 ",92,2,93
746 Pottle Ave,93706," 26, 2020",160000.0,4,2,1583,True," 7,501 ",98,0,176
4092 W Pear Tree Ln,93722," 26, 2020",273000.0,4,2.5,1616,True," 5,100 ",-1,0,163
4808 E San Gabriel Ave,93726," 25, 2020",251000.0,4,1.75,1506,True," 7,000 ",57,8,94
6382 N Forestiere Ave,93722," 25, 2020",270000.0,3,2,1308,True," 6,242 ",30,0,163
4727 E Grove Ave,93725," 25, 2020",204000.0,3,1,960,True," 6,198 ",46,0,54
1696 E Dorchester Ln,93730," 25, 2020",800000.0,5,5,3289,True," 10,367 ",-1,0,0
11336 N Cherry Sage Ave,93730," 25, 2020",330000.0,3,2,1301,True," 2,940 ",9,0,0
231 E Cole Ave,93720," 25, 2020",227500.0,2,2,1118,True," 1,846 ",-1,4,31
96 E Thomas Ave,93728," 25, 2020",162000.0,2,2,1295,True," 6,499 ",100,1,77
4355 W Yale Ave,93722," 25, 2020",253000.0,3,2,1482,True," 4,199 ",27,0,163
2311 E Birch Ave,93720," 24, 2020",580000.0,4,4,2871,True," 9,147 ",23,4,31
6121 E Fountain Way,93727," 24, 2020",295000.0,3,2,1357,True," 6,934 ",11,7,103
11168 N Valley Dr,93730," 24, 2020",875000.0,3,3,2846,True," 9,517 ",-1,0,0
1512 W Robinson Ave,93705," 24, 2020",256500.0,3,1,1224,True," 7,670 ",68,0,100
8019 E Shields Ave,93737," 24, 2020",391000.0,4,2,2012,True, 1.65 a,105,0,5
1526 W Barstow Ave,93711," 24, 2020",338000.0,3,3,1934,True, 0.28 a,57,5,29
4965 E White Ave,93727," 24, 2020",261000.0,3,1.75,1516,True, 0.39 a,53,7,103
5142 E Pitt Ave,93725," 24, 2020",300000.0,4,2,1578,True," 6,912 ",28,0,54
4152 E El Monte Way,93702," 24, 2020",167000.0,3,1.5,1350,True," 6,037 ",69,2,101
4152 E El Monte Way,93702," 24, 2020",167000.0,3,1.5,1350,True," 6,037 ",69,2,101
8153 N Cedar Ave #222,93720," 21, 2020",202500.0,2,2,1111,True," 1,393 ",-1,4,31
9843 N Tea Party Ln,93720," 21, 2020",660000.0,4,3.75,3166,True, 0.70 a,37,4,31
5854 W Norwich Ave,93722," 21, 2020",297000.0,3,2,1457,True," 9,583 ",10,0,163
1423 W Cornell Ave,93705," 21, 2020",221000.0,3,1.75,1252,True," 7,562 ",65,0,100
1089 E Sarazen Ave,93730," 21, 2020",475000.0,4,3,2080,True," 5,998 ",15,0,0
4919 N Millbrook Ave #121,93726," 21, 2020",115000.0,1,1,795,False, 892 ,-1,8,94
4676 W Andrews Ave,93722," 21, 2020",171000.0,3,1,1244,True, 0.57 a,63,0,163
473 E Alluvial Ave #102,93720," 21, 2020",295000.0,4,3,1798,True," 3,828 ",-1,4,31
3780 W Della Ln,93711," 21, 2020",295000.0,3,2.5,1622,True," 3,841 ",-1,5,29
4459 E Austin Way,93726," 21, 2020",250000.0,3,1.75,1398,True," 6,120 ",61,8,94
2931 E Garland Ave,93726," 21, 2020",277500.0,4,2,1712,True," 8,646 ",64,8,94
5883 W Fallon Ave,93722," 21, 2020",312000.0,3,2,1460,True," 5,998 ",27,0,163
355 N Homsy Ave,93727," 21, 2020",285000.0,3,2,1782,True," 7,300 ",43,7,103
4695 E Terrace Ave,93703," 21, 2020",272000.0,4,2,1588,True," 9,700 ",68,3,92
5743 N Sherman Ave,93710,ug-20,275000.0,3,2,1594,True," 8,001 ",-1,4,60
4654 N Chestnut Ave #137,93726,ug-20,132000.0,3,2,1072,True," 1,498 ",-1,8,94
3019 E Donahoo St,93721,ug-20,286000.0,3,1.75,2022,True," 8,751 ",51,0,0
668 E Blue Ridge Rd,93720,ug-20,520000.0,4,3,2458,True," 9,147 ",-1,4,31
6467 N Tracy Ave,93722,ug-20,267000.0,3,2,1256,True," 6,220 ",33,0,163
3292 E Sample Ave,93710,ug-20,283000.0,3,1,-1,True," 9,147 ",44,4,60
8695 N John Albert Ave,93720,ug-20,482500.0,3,2,2383,True," 9,901 ",13,4,31
1314 E Via Dorata Way,93730,ug-20,385000.0,3,3,1641,True,-1,-1,0,0
7166 N Fruit Ave #144,93711,ug-20,190000.0,2,1.5,1224,True," 1,006 ",-1,5,29
4884 E Pico Ave,93726,ug-20,280000.0,4,2.5,2191,True," 6,616 ",53,8,94
2434 N 1st St,93703,ug-20,360000.0,8,4,3270,True," 8,398 ",67,3,92
6821 E Cornell Ave,93727,ug-20,380000.0,4,2,2124,True," 6,499 ",14,7,103
474 E Alluvial Ave,93720,ug-20,237000.0,2,2.25,1068,True," 4,007 ",-1,4,31
5559 N Olinda Ave,93723,ug-20,320000.0,3,2,2000,True," 6,298 ",14,0,0
9520 N Matus Ave,93720,ug-20,425000.0,3,2,2161,True," 7,405 ",22,4,31
3594 W Beechwood Ave,93711,ug-20,298500.0,2,2,1750,True," 5,998 ",34,5,29
1120 E La Sierra Dr,93728,ug-20,170000.0,2,1,780,True," 3,750 ",80,1,77
6195 N West Ave,93711,ug-20,280000.0,2,1.75,2063,True," 4,939 ",-1,5,29
604 W Cortland Ave,93705,ug-20,259000.0,3,1.75,1368,True," 8,102 ",66,0,100
5455 N Marty Ave #191,93711,ug-20,205000.0,3,2,1427,True,-1,-1,5,29
5264 W Fremont Ave,93722,ug-20,235000.0,2,1.75,1039,True," 4,791 ",29,0,163
812 W Pine Ave,93728,ug-20,235000.0,3,1,1251,True," 7,318 ",74,1,77
5941 E Montecito Ave,93727,ug-20,361000.0,4,3,2150,True, 0.33 a,51,7,103
5383 W Roberts Ave,93722,ug-20,327000.0,4,2,2017,True," 7,139 ",19,0,163
2655 E Tarragon Way,93720,ug-20,385000.0,5,2,2165,True," 6,098 ",-1,4,31
6230 N Tamera Ave,93711,ug-20,425000.0,4,1.75,2378,True," 9,774 ",42,5,29
7395 N Benedict Ave,93711,ug-20,450000.0,4,2.5,2527,True, 0.30 a,-1,5,29
1624 N Teilman Ave,93705,ug-20,220000.0,3,1.75,1720,True," 7,618 ",73,0,100
3771 Circle Dr W,93704,ug-20,279512.0,3,1.75,1484,True," 8,119 ",69,2,93
4676 N Kavanagh Ave,93705,ug-20,255000.0,3,2,1285,True,-1,-1,0,100
493 E Sierra Ave,93710,ug-20,163000.0,2,1,1247,True," 10,193 ",94,4,60
171 N College Ave,93701,ug-20,195000.0,4,2,1485,True," 4,791 ",108,0,0
221 N Burgan Ave,93727,ug-20,275000.0,3,2,1469,True," 5,998 ",19,7,103
3266 W Anthem Dr,93711,Jul-20,410000.0,4,3,2378,True," 4,500 ",-1,5,29
1348 E Richmond Ave,93720,Jul-20,280000.0,3,1.75,1514,True," 4,704 ",29,4,31
2609 E Skyview Ave,93720,Jul-20,415000.0,5,2,2186,True," 6,420 ",22,4,31
408 E Swallow Ct,93730,Jul-20,532000.0,4,3,2314,True," 8,799 ",-1,0,0
6262 W Indianapolis Ave,93723,Jul-20,384000.0,Studio,1,-1,False,-1,-1,0,0
2429 S Lotus Ave,93706,Jul-20,45000.0,3,1,910,True," 7,579 ",70,0,176
60 N Fowler Ave,93727,Jul-20,383500.0,Studio,1,-1,False,-1,-1,7,103
559 S Sunnyside Ave,93727,Jul-20,298000.0,3,2,1691,True," 7,148 ",7,7,103
5497 W Holland Ave,93722,Jul-20,307000.0,Studio,1,-1,False,-1,-1,0,163
2119 E Makenna Dr,93730,Jul-20,345000.0,2,2.5,1560,True,-1,-1,0,0
2376 S Playa Ave,93727,Jul-20,306000.0,4,3,2348,True," 7,797 ",13,7,103
8153 N Cedar Ave #203,93720,Jul-20,200000.0,2,2,1141,True," 1,406 ",-1,4,31
7425 E Flint Way,93726,Jul-20,391000.0,4,3,2384,True," 5,009 ",0,8,94
4270 Rall Ave,93619,Jul-20,513000.0,Studio,1,-1,False,-1,-1,7,0
1348 E Richmond Ave,93720,Jul-20,280000.0,3,1.75,1514,True," 4,704 ",29,4,31
7362 N Lacey Dr,93722,Jul-20,385000.0,4,2.5,2697,True," 5,000 ",-1,0,163
7173 N Hazel Ave,93711,Jul-20,260000.0,3,2.5,1411,True," 5,000 ",-1,5,29
1661 N State St,93722,Jul-20,400000.0,5,5,3167,True,-1,-1,0,163
9756 N Yorktown Dr,93720,Jul-20,802500.0,4,3,2810,True,-1,-1,4,31
10848 N Bunkerhill Dr,93730,Jul-20,371000.0,3,2,1466,True," 7,004 ",15,0,0
2680 S Cedar Ave,93725,Jul-20,175000.0,6,3,2456,True," 7,248 ",90,0,54
4588 N Hazel Ave,93722,Jul-20,236000.0,3,2,1090,True," 6,098 ",48,0,163
6221 E Nala Dr,93727,Jul-20,320000.0,3,3,1641,True," 2,730 ",0,7,103
4924 E Tower Ave,93725,Jul-20,263000.0,Studio,1,-1,False,-1,-1,0,54
5630 N Augusta St,93710,Jul-20,261000.0,3,1.75,1436,True," 5,998 ",55,4,60
2689 E Sean Ave,93720,Jul-20,672500.0,4,4.5,3980,True, 0.26 a,-1,4,31
5578 E Edna Ave,93727,Jul-20,315000.0,4,2,1777,True," 7,021 ",7,7,103
4538 E Pine Ave,93703,Jul-20,115000.0,2,1,858,True," 9,670 ",75,3,92
3266 W Anthem Dr,93711,Jul-20,410000.0,4,3,2378,True," 4,500 ",-1,5,29
10443 N Woodrow Ave,93730,Jul-20,339000.0,3,2,1678,True," 5,301 ",23,0,0
1257 E Le Parc Dr,93720,Jul-20,375000.0,3,2.5,1857,True," 5,998 ",-1,4,31
5647 W Indianapolis Ave,93722,Jul-20,250000.0,3,2,1407,True," 4,748 ",25,0,163
646 E Beverly Way,93704,Jul-20,186000.0,3,1.75,1158,True," 7,579 ",74,2,93
1350 N Chestnut Ave,93703,Jul-20,205000.0,3,1.75,1176,True," 6,899 ",60,3,92
4978 E Iowa Ave,93727,Jul-20,220000.0,3,1,1092,True, 0.27 a,71,7,103
5647 W Indianapolis Ave,93722,Jul-20,250000.0,3,2,1407,True," 4,748 ",25,0,163
2320 W Carmen Ave,93728,Jul-20,252000.0,4,2,1454,True," 10,049 ",61,1,77
10443 N Woodrow Ave,93730,Jul-20,339000.0,3,2,1678,True," 5,301 ",23,0,0
2035 N Van Ness Blvd,93704,Jul-20,649000.0,3,1,-1,True," 6,229 ",83,2,93
3412 N Redda Rd,93737,Jul-20,370000.0,5,3,2046,True," 6,263 ",8,0,5
7464 E Robinson Ave,93737,Jul-20,318500.0,3,2.5,1780,True,-1,-1,0,5
2555 W Bluff Ave #168,93711,Jul-20,600000.0,3,2,2528,True," 9,901 ",-1,5,29
379 N Delno Ave,93706,Jul-20,115000.0,3,1,1028,True," 7,618 ",95,0,176
5478 E Butler Ave,93727,Jul-20,590000.0,3,3.5,4182,True, 0.74 a,47,7,103
4588 S Maple Ave,93725,Jul-20,385000.0,2,3,2344,True, 1.00 a,70,0,54
2618 W Shields Ave,93705,Jul-20,275000.0,6,3,2385,True," 9,713 ",72,0,100
1213 E Simpson Ave,93704,Jul-20,240000.0,3,2,1178,True," 8,102 ",68,2,93
2905 N Vagedes Ave,93705,Jul-20,240000.0,2,1,1285,True," 7,222 ",70,0,100
1014 N Arthur Ave,93728,Jul-20,-1.0,2,1,804,True,-1,93,1,77
5430 W Paul Ave,93722,Jul-20,285500.0,3,2,1754,True," 6,599 ",30,0,163
1429 E Via Viola Way,93730,Jul-20,369500.0,3,3,1641,True," 2,354 ",-1,0,0
5531 W Flint Way,93723,Jul-20,365000.0,Studio,1,-1,False,-1,-1,0,0
1866 E Lester Ave,93720,Jul-20,380000.0,4,3,2234,True," 6,534 ",28,4,31
7488 N Highgrove Ln,93711,Jul-20,1600000.0,5,6,5223,True, 0.44 a,13,5,29
